epoch,accuracy,loss,val_accuracy,val_loss
0,0.25141942501068115,1.8159160614013672,0.24589021503925323,14.142960548400879
1,0.266153484582901,1.7762502431869507,0.11103371530771255,80.10748291015625
2,0.30979833006858826,1.7201155424118042,0.1536639779806137,68.26152801513672
3,0.3303145468235016,1.6904886960983276,0.20423516631126404,66.72395324707031
4,0.33080220222473145,1.6882448196411133,0.2151017040014267,69.38599395751953
5,0.33212581276893616,1.6850899457931519,0.20966842770576477,70.67768096923828
6,0.3350517153739929,1.6828157901763916,0.20395652949810028,71.44306945800781
7,0.33289211988449097,1.6869162321090698,0.20423516631126404,71.40973663330078
8,0.3355393707752228,1.6844043731689453,0.20507104694843292,71.34220123291016
9,0.3345988988876343,1.6844135522842407,0.20493173599243164,71.34230041503906
10,0.33027970790863037,1.6865966320037842,0.20493173599243164,71.34188842773438
